# Darya core lexicon - B2 batch (AI scripted)
# rank|dari|translit|pos|register|glossEn|exampleDari|exampleTranslit|exampleEn|tags|variants
2521|چک بلامحل|chak-i bē-mahal|noun|formal|bounced check|صدور چک بلامحل جرم محسوب می‌شود.|sudūr-i chak-i bē-mahal jurm mahsūb mēshawad.|Issuing a bounced check is considered a crime.|Abstract Concepts|
2522|سپرده ثابت|sipurda-i sābit|noun|formal|fixed deposit|او پول خود را در یک حساب سپرده ثابت گذاشت.|ū pūl-i khud rā dar yak hisāb-i sipurda-i sābit guzāsht.|He put his money in a fixed deposit account.|Abstract Concepts|
2523|سرمایه در گردش|sarmāya dar gardish|noun|formal|working capital|شرکت برای تامین مواد اولیه به سرمایه در گردش نیاز دارد.|shirkat barā-yi ta'mīn-i mawād-i awwaliya ba sarmāya dar gardish niyāz dārad.|The company needs working capital to supply raw materials.|Geography & Places|
2524|سود ناخالص|sūd-i nā-khālis|noun|formal|gross profit|سود ناخالص کارخانه امسال دو برابر شد.|sūd-i nā-khālis-i kārkhāna imsāl dū barābar shud.|The factory's gross profit doubled this year.|Abstract Concepts|
2525|هزینه‌های سربار|hazīna-hā-yi sarbār|noun|formal|overhead costs|مدیران در تلاش برای کاهش هزینه‌های سربار هستند.|mudīrān dar talāsh barā-yi kāhish-i hazīna-hā-yi sarbār hastand.|Managers are trying to reduce overhead costs.|Abstract Concepts|
2526|استهلاک|istihlāk|noun|formal|depreciation|استهلاک ماشین‌آلات باید در حسابداری لحاظ شود.|istihlāk-i māshīn-ālāt bāyad dar hisābdārī luhāz shawad.|The depreciation of machinery must be accounted for.|Abstract Concepts|
2527|مالیات بر ارزش افزوده|māliyāt bar arzish-i afzūda|noun|formal|value added tax (VAT)|دولت قانون مالیات بر ارزش افزوده را اجرا کرد.|dawlat qānūn-i māliyāt bar arzish-i afzūda rā ijrā kard.|The government implemented the value-added tax law.|Money & Finance|
2528|فرار مالیاتی|farār-i māliyātī|noun|formal|tax evasion|مقابله با فرار مالیاتی یکی از اولویت‌های دولت است.|muqābala bā farār-i māliyātī yakī az awlawiyat-hā-yi dawlat ast.|Tackling tax evasion is one of the government's priorities.|Money & Finance|
2529|معافیت مالیاتی|mu'āfiyat-i māliyātī|noun|formal|tax exemption|شرکت‌های دانش‌بنیان از معافیت مالیاتی برخوردارند.|shirkat-hā-yi dānish-bunyān az mu'āfiyat-i māliyātī barkhurdārand.|Knowledge-based companies enjoy tax exemption.|Money & Finance|
2530|سال مالی|sāl-i mālī|noun|formal|financial year|گزارش عملکرد در پایان سال مالی ارائه می‌شود.|guzārish-i 'amalkard dar pāyān-i sāl-i mālī irāya mēshawad.|The performance report is presented at the end of the financial year.|Time & Calendar|
2531|حسابرسی|hisābrasī|noun|formal|auditing|تیم حسابرسی فردا به شرکت می‌آید.|tīm-i hisābrasī fardā ba shirkat mēāyad.|The auditing team is coming to the company tomorrow.|Abstract Concepts|
2532|حسابدار قسم‌خورده|hisābdār-i qasam-khurda|noun|formal|certified public accountant|گزارش مالی باید توسط حسابدار قسم‌خورده تایید شود.|guzārish-i mālī bāyad tawassut-i hisābdār-i qasam-khurda ta'yīd shawad.|The financial report must be approved by a certified public accountant.|Society & Politics|
2533|اوراق قرضه|awrāq-i qarza|noun|formal|bonds|دولت برای جبران کسری بودجه اوراق قرضه منتشر کرد.|dawlat barā-yi jubrān-i kasrī-yi būdja awrāq-i qarza muntashir kard.|The government issued bonds to offset the budget deficit.|Abstract Concepts|
2534|صندوق بین‌المللی پول|sandūq-i bayn-ul-milalī-yi pūl|noun|formal|International Monetary Fund (IMF)|کشور از صندوق بین‌المللی پول وام درخواست کرد.|kishwar az sandūq-i bayn-ul-milalī-yi pūl wām dar-khwāst kard.|The country requested a loan from the International Monetary Fund.|Abstract Concepts|
2535|بانک جهانی|bānk-i jahānī|noun|formal|World Bank|بانک جهانی پروژه‌های عمرانی را تمویل می‌کند.|bānk-i jahānī purōzha-hā-yi 'umrānī rā tamwīl mēkunad.|The World Bank finances infrastructure projects.|Money & Finance|
2536|رقابت‌پذیری|riqābat-pazīrī|noun|formal|competitiveness|افزایش کیفیت باعث ارتقای رقابت‌پذیری محصولات می‌شود.|afzāyish-i kayfiyat bā'is-i irtiqā-yi riqābat-pazīrī-yi mahsūlāt mēshawad.|Increasing quality enhances the competitiveness of products.|Abstract Concepts|
2537|انحصار|inhisār|noun|formal|monopoly|این شرکت در بازار مخابرات انحصار دارد.|īn shirkat dar bāzār-i mukhābarāt inhisār dārad.|This company has a monopoly in the telecommunications market.|Abstract Concepts|
2538|قانون ضد انحصار|qānūn-i zidd-i inhisār|noun|formal|antitrust law|دولت قانون ضد انحصار را برای حمایت از مصرف‌کننده وضع کرد.|dawlat qānūn-i zidd-i inhisār rā barā-yi himāyat az masraf-kunanda waz' kard.|The government enacted the antitrust law to protect consumers.|Society & Politics|
2539|تحقیقات بازار|tahqīqāt-i bāzār|noun|formal|market research|قبل از تولید محصول جدید، تحقیقات بازار ضروری است.|qabl az tawlīd-i mahsūl-i jadīd, tahqīqāt-i bāzār zarūrī ast.|Before producing a new product, market research is necessary.|Work & Business|
2540|مزیت نسبی|maziyat-i nisbī|noun|formal|comparative advantage|کشور ما در تولید زراعی مزیت نسبی دارد.|kishwar-i mā dar tawlīd-i zirā'ī maziyat-i nisbī dārad.|Our country has a comparative advantage in agricultural production.|Abstract Concepts|
2541|زنجیره تامین|zanjīra-i ta'mīn|noun|formal|supply chain|اختلال در زنجیره تامین باعث کمبود کالا شد.|ikhtilāl dar zanjīra-i ta'mīn bā'is-i kambūd-i kālā shud.|Disruption in the supply chain caused a shortage of goods.|Abstract Concepts|
2542|امتیاز تجاری|imtiyāz-i tijārī|noun|formal|franchise|این رستوران به صورت امتیاز تجاری فعالیت می‌کند.|īn ristūrān ba sūrat-i imtiyāz-i tijārī fa'āliyat mēkunad.|This restaurant operates as a franchise.|Abstract Concepts|
2543|علامت تجاری|'alāmat-i tijārī|noun|formal|trademark|ثبت علامت تجاری برای محافظت از برند الزامی است.|sabt-i 'alāmat-i tijārī barā-yi muhāfazat az birand ilzāmī ast.|Registering a trademark is mandatory to protect the brand.|Abstract Concepts|
2544|کپی‌رایت|kāpī-rāyt|noun|formal|copyright|نقض کپی‌رایت پیگرد قانونی دارد.|naqz-i kāpī-rāyt paygard-i qānūnī dārad.|Copyright infringement is subject to legal prosecution.|Abstract Concepts|
2545|بیمه عمر|bīma-i 'umr|noun|formal|life insurance|داشتن بیمه عمر برای سرپرست خانواده مهم است.|dāshtan-i bīma-i 'umr barā-yi sarparast-i khānawāda muhimm ast.|Having life insurance is important for the head of the family.|Abstract Concepts|
2546|حق بیمه|haqq-i bīma|noun|formal|insurance premium|حق بیمه خودروهای مدل بالا گران‌تر است.|haqq-i bīma-i khudraw-hā-yi mudal-bālā girān-tar ast.|The insurance premium for high-end cars is more expensive.|Abstract Concepts|
2547|بیمه‌نامه|bīma-nāma|noun|formal|insurance policy|شرایط خسارت در بیمه‌نامه ذکر شده است.|sharāyit-i khasārat dar bīma-nāma zikr shuda ast.|The conditions for damages are stated in the insurance policy.|Abstract Concepts|
2548|خسارت|khasārat|noun|formal|damages/loss|شرکت بیمه تمام خسارت آتش‌سوزی را پرداخت کرد.|shirkat-i bīma tamām-i khasārat-i ātish-sōzī rā pardākht kard.|The insurance company paid all the fire damages.|Abstract Concepts|
2549|ادغام شرکت‌ها|idghām-i shirkat-hā|noun|formal|corporate merger|ادغام این دو شرکت باعث ایجاد یک غول فناوری شد.|idghām-i īn dū shirkat bā'is-i ījād-i yak ghūl-i fanāwarī shud.|The merger of these two companies created a tech giant.|Abstract Concepts|
2550|تملک|tamalluk|noun|formal|acquisition|تملک این استارتاپ توسط شرکت بزرگتر موفقیت‌آمیز بود.|tamalluk-i īn istārtāp tawassut-i shirkat-i buzurg-tar muwaffaqiyat-āmēz būd.|The acquisition of this startup by the larger company was successful.|Abstract Concepts|
2551|هیئت مدیره|hay'at-i mudīra|noun|formal|board of directors|هیئت مدیره تصمیمات استراتژیک را اتخاذ می‌کند.|hay'at-i mudīra tasmīmāt-i istrātēzhīk rā ittikhāz mēkunad.|The board of directors makes strategic decisions.|Abstract Concepts|
2552|مدیرعامل|mudīr-i 'āmil|noun|formal|CEO (Chief Executive Officer)|مدیرعامل جدید برنامه‌های توسعه‌ای خود را اعلام کرد.|mudīr-i 'āmil-i jadīd barnāma-hā-yi tawsia'ī-yi khud rā i'lām kard.|The new CEO announced his development plans.|Abstract Concepts|
2553|مدیر مالی|mudīr-i mālī|noun|formal|CFO (Chief Financial Officer)|مدیر مالی مسئول نظارت بر جریان نقدینگی است.|mudīr-i mālī mas'ūl-i nizārat bar jarayān-i naqdīnagī ast.|The CFO is responsible for overseeing cash flow.|Abstract Concepts|
2554|منابع انسانی|manābi'-i insānī|noun|formal|human resources|بخش منابع انسانی در حال استخدام نیروهای جدید است.|bakhsh-i manābi'-i insānī dar hāl-i istikhdām-i nērū-hā-yi jadīd ast.|The human resources department is hiring new staff.|People & Identity|
2555|برون‌سپاری|burūn-sipārī|noun|formal|outsourcing|شرکت بسیاری از خدمات خود را برون‌سپاری کرده است.|shirkat bisyārī az khadamāt-i khud rā burūn-sipārī karda ast.|The company has outsourced many of its services.|Abstract Concepts|
2556|بهره‌وری|bahra-warī|noun|formal|productivity|افزایش بهره‌وری نیروی کار هدف اصلی ماست.|afzāyish-i bahra-warī-yi nērū-yi kār hadaf-i aslī-yi māst.|Increasing labor productivity is our main goal.|Abstract Concepts|
2557|طرح کسب و کار|tarh-i kasb-u-kār|noun|formal|business plan|برای جذب سرمایه به یک طرح کسب و کار قوی نیاز دارید.|barā-yi jazb-i sarmāya ba yak tarh-i kasb-u-kār-i qawī niyāz dārēd.|You need a strong business plan to attract investment.|Work & Business|
2558|سودآوری|sūd-āwarī|noun|formal|profitability|این پروژه سودآوری بالایی در بلندمدت خواهد داشت.|īn purōzha sūd-āwarī-yi bālāyī dar buland-muddat khāhad dāsht.|This project will have high profitability in the long run.|Abstract Concepts|
2559|زیان‌ده|ziyān-dih|adjective|formal|loss-making/unprofitable|دولت شرکت‌های زیان‌ده را خصوصی‌سازی می‌کند.|dawlat shirkat-hā-yi ziyān-dih rā khusūsī-sāzī mēkunad.|The government privatizes loss-making companies.|Descriptions & Qualities|
2560|خصوصی‌سازی|khusūsī-sāzī|noun|formal|privatization|روند خصوصی‌سازی مخابرات آغاز شده است.|rawand-i khusūsī-sāzī-yi mukhābarāt āghāz shuda ast.|The privatization process of telecommunications has begun.|Abstract Concepts|
2561|یارانه|yārāna|noun|formal|subsidy|دولت یارانه نان را کاهش داد.|dawlat yārāna-i nān rā kāhish dād.|The government reduced the bread subsidy.|Abstract Concepts|
2562|توسعه پایدار|tawsia-i pāydār|noun|formal|sustainable development|رشد اقتصادی باید همراه با توسعه پایدار باشد.|rushd-i iqtisādī bāyad hamrāh bā tawsia-i pāydār bāshad.|Economic growth must be accompanied by sustainable development.|Abstract Concepts|
2563|شاخص قیمت مصرف‌کننده|shākhis-i qīmat-i masraf-kunanda|noun|formal|consumer price index (CPI)|شاخص قیمت مصرف‌کننده در ماه گذشته افزایش یافت.|shākhis-i qīmat-i masraf-kunanda dar māh-i guzashta afzāyish yāft.|The consumer price index rose last month.|Money & Finance|
2564|تولید ناخالص داخلی|tawlīd-i nā-khālis-i dākhilī|noun|formal|gross domestic product (GDP)|رشد تولید ناخالص داخلی نشان‌دهنده بهبود وضعیت است.|rushd-i tawlīd-i nā-khālis-i dākhilī nishān-dihanda-i bihbūd-i waz'iyat ast.|GDP growth indicates an improving situation.|Abstract Concepts|
2565|درآمد سرانه|dar-āmad-i sarāna|noun|formal|per capita income|کشورهای توسعه‌یافته درآمد سرانه بالایی دارند.|kishwar-hā-yi tawsia-yāfta dar-āmad-i sarāna-i bālāyī dārand.|Developed countries have a high per capita income.|Abstract Concepts|
2566|عرضه و تقاضا|'arza-wu-taqāzā|noun|formal|supply and demand|قیمت‌ها بر اساس قانون عرضه و تقاضا تعیین می‌شوند.|qīmat-hā bar asās-i qānūn-i 'arza-wu-taqāzā ta'yīn mēshawand.|Prices are determined by the law of supply and demand.|Abstract Concepts|
2567|بحران مالی|buhrān-i mālī|noun|formal|financial crisis|بحران مالی جهانی تاثیرات مخربی داشت.|buhrān-i mālī-yi jahānī ta'sīrāt-i mukharribī dāsht.|The global financial crisis had devastating effects.|Abstract Concepts|
2568|پول‌شویی|pūl-shōyī|noun|formal|money laundering|مبارزه با پول‌شویی نیازمند همکاری بین‌المللی است.|mubāraza bā pūl-shōyī niyāzmand-i hamkārī-yi bayn-ul-milalī ast.|Combating money laundering requires international cooperation.|Money & Finance|
2569|صندوق ثروت ملی|sandūq-i sarwat-i millī|noun|formal|sovereign wealth fund|درآمد نفت به صندوق ثروت ملی واریز می‌شود.|dar-āmad-i naft ba sandūq-i sarwat-i millī wārīz mēshawad.|Oil revenue is deposited into the sovereign wealth fund.|Abstract Concepts|
2570|منطقه آزاد تجاری|mantiqa-i āzād-i tijārī|noun|formal|free trade zone|شرکت‌ها در منطقه آزاد تجاری از مالیات معاف هستند.|shirkat-hā dar mantiqa-i āzād-i tijārī az māliyāt mu'āf hastand.|Companies in the free trade zone are tax-exempt.|Work & Business|
2571|پیمانکار|paymānkār|noun|formal|contractor|دولت ساخت سرک را به یک پیمانکار داخلی سپرد.|dawlat sākht-i sarak rā ba yak paymānkār-i dākhilī sipurud.|The government entrusted road construction to a domestic contractor.|Abstract Concepts|
2572|مناقصه|munāqisa|noun|formal|tender/bidding|شرکت ما در مناقصه ساخت شفاخانه برنده شد.|shirkat-i mā dar munāqisa-i sākht-i shifā-khāna baranda shud.|Our company won the tender for building the hospital.|Abstract Concepts|
2573|مزایده|muzāyada|noun|formal|auction|اموال مصادره شده به مزایده گذاشته شد.|amwāl-i musādira-shuda ba muzāyada guzāshta shud.|The confiscated properties were put up for auction.|Abstract Concepts|
2574|ضمانت‌نامه|zamānat-nāma|noun|formal|guarantee/warranty|برای شرکت در مناقصه باید ضمانت‌نامه بانکی ارائه دهید.|barā-yi shirkat dar munāqisa bāyad zamānat-nāma-i bānkī irāya dihēd.|To participate in the tender, you must provide a bank guarantee.|Abstract Concepts|
2575|پرتفوی|purtfūy|noun|formal|portfolio|سرمایه‌گذاران باید پرتفوی متنوعی داشته باشند.|sarmāya-guzārān bāyad purtfūy-i mutanawwi'ī dāshta bāshand.|Investors should have a diversified portfolio.|Abstract Concepts|
2576|بازدهی|bāzdihī|noun|formal|yield/return|بازدهی سهام این شرکت در سال جاری عالی بود.|bāzdihī-yi sahām-i īn shirkat dar sāl-i jārī 'ālī būd.|The stock yield of this company was excellent this year.|Abstract Concepts|
2577|ریسک اعتباری|rīsk-i i'tibārī|noun|formal|credit risk|بانک‌ها باید ریسک اعتباری مشتریان را ارزیابی کنند.|bānk-hā bāyad rīsk-i i'tibārī-yi mushtarīyān rā arzyābī kunand.|Banks must assess the credit risk of customers.|Abstract Concepts|
2578|اعتبار اسنادی|i'tibār-i asnādī|noun|formal|letter of credit (LC)|تاجران برای واردات کالا از اعتبار اسنادی استفاده می‌کنند.|tājirān barā-yi wāridāt-i kālā az i'tibār-i asnādī istifāda mēkunand.|Merchants use letters of credit for importing goods.|Communication & Media|
2579|سوئیفت|swīft|noun|formal|SWIFT|تحریم‌های سوئیفت مانع از انتقال پول می‌شود.|tahrīm-hā-yi swīft māni' az intiqāl-i pūl mēshawad.|SWIFT sanctions prevent money transfers.|Abstract Concepts|
2580|بدهی ملی|bidihī-yi millī|noun|formal|national debt|بدهی ملی کشور به شدت در حال افزایش است.|bidihī-yi millī-yi kishwar ba shiddat dar hāl-i afzāyish ast.|The country's national debt is rising sharply.|Money & Finance|
2581|سررسید|sarrasīd|noun|formal|maturity date/due date|تاریخ سررسید این وام ماه آینده است.|tārīkh-i sarrasīd-i īn wām māh-i āyanda ast.|The maturity date of this loan is next month.|Time & Calendar|
2582|نکول|nukūl|noun|formal|default (on a loan)|نرخ نکول در بانک‌های خصوصی بالا رفته است.|nirkh-i nukūl dar bānk-hā-yi khusūsī bālā rafta ast.|The default rate in private banks has gone up.|Money & Finance|
2583|موسسه مالی اعتباری|mu'assisa-i mālī-yi i'tibārī|noun|formal|credit financial institution|مردم پول‌های خود را از این موسسه مالی اعتباری بیرون کشیدند.|mardum pūl-hā-yi khud rā az īn mu'assisa-i mālī-yi i'tibārī bērūn kashīdand.|People withdrew their money from this credit financial institution.|Abstract Concepts|
2584|حواله ارزی|hawāla-i arzī|noun|formal|foreign exchange remittance|شرکت برای خرید ماشین‌آلات حواله ارزی صادر کرد.|shirkat barā-yi kharīd-i māshīn-ālāt hawāla-i arzī sādir kard.|The company issued a foreign exchange remittance to buy machinery.|Abstract Concepts|
2585|صادرات غیرنفتی|sādirāt-i ghayr-i naftī|noun|formal|non-oil exports|دولت برای افزایش صادرات غیرنفتی برنامه‌ریزی می‌کند.|dawlat barā-yi afzāyish-i sādirāt-i ghayr-i naftī barnāma-rēzī mēkunad.|The government is planning to increase non-oil exports.|Food & Drink|
2586|رانت‌خواری|rānt-khwārī|noun|formal|rent-seeking/profiteering|اقتصاد کشور از مشکل رانت‌خواری رنج می‌برد.|iqtisād-i kishwar az mushkil-i rānt-khwārī ranj mēbarad.|The country's economy suffers from the problem of rent-seeking.|Abstract Concepts|
2587|ارزش افزوده|arzish-i afzūda|noun|formal|value added|بخش صنعت بیشترین ارزش افزوده را تولید می‌کند.|bakhsh-i san'at bēshtarīn arzish-i afzūda rā tawlīd mēkunad.|The industrial sector produces the most value added.|Abstract Concepts|
2588|کمیابی|kamyābī|noun|formal|scarcity|کمیابی منابع یکی از مفاهیم اساسی اقتصاد است.|kamyābī-yi manābi' yakī az mafāhīm-i asāsī-yi iqtisād ast.|Scarcity of resources is one of the fundamental concepts of economics.|Abstract Concepts|
2589|مالیات بر درآمد|māliyāt bar dar-āmad|noun|formal|income tax|نرخ مالیات بر درآمد برای افراد ثروتمند بیشتر است.|nirkh-i māliyāt bar dar-āmad barā-yi afrād-i sarwatmand bēshtar ast.|The income tax rate is higher for wealthy individuals.|Money & Finance|
2590|گزارشگری مالی|guzārishgarī-yi mālī|noun|formal|financial reporting|استانداردهای گزارشگری مالی باید به دقت رعایت شوند.|istāndārd-hā-yi guzārishgarī-yi mālī bāyad ba diqqat ri'āyat shawand.|Financial reporting standards must be strictly followed.|Abstract Concepts|
2591|حاشیه سود|hāshiya-i sūd|noun|formal|profit margin|حاشیه سود در این صنعت بسیار پایین است.|hāshiya-i sūd dar īn san'at bisyār pāyīn ast.|The profit margin in this industry is very low.|Abstract Concepts|
2592|خروج سرمایه|khurūj-i sarmāya|noun|formal|capital flight|ناامنی باعث تسریع روند خروج سرمایه از کشور شد.|nā-amnī bā'is-i tasrī'-i rawand-i khurūj-i sarmāya az kishwar shud.|Insecurity accelerated the process of capital flight from the country.|Travel & Transportation|
2593|ارز دیجیتال|arz-i dijitāl|noun|formal|cryptocurrency/digital currency|معاملات ارز دیجیتال در برخی کشورها ممنوع است.|mu'āmalāt-i arz-i dijitāl dar barkhī kishwar-hā mamnū' ast.|Cryptocurrency trading is banned in some countries.|Abstract Concepts|
2594|استخراج رمزارز|istikhrāj-i ramz-arz|noun|formal|cryptocurrency mining|استخراج رمزارز نیازمند برق زیادی است.|istikhrāj-i ramz-arz niyāzmand-i barq-i ziyādī ast.|Cryptocurrency mining requires a lot of electricity.|Abstract Concepts|
2595|اقتصاد زیرزمینی|iqtisād-i zēr-zamīnī|noun|formal|underground economy|حجم اقتصاد زیرزمینی در حال گسترش است.|hajm-i iqtisād-i zēr-zamīnī dar hāl-i gustarish ast.|The size of the underground economy is expanding.|Money & Finance|
2596|بازار سیاه|bāzār-i siyāh|noun|formal|black market|آنها دالر را از بازار سیاه خریداری کردند.|ānhā dālar rā az bāzār-i siyāh kharīdārī kardand.|They bought dollars from the black market.|Colors & Shapes|
2597|شرکت سهامی عام|shirkat-i sahāmī-yi 'ām|noun|formal|public joint-stock company|این بانک یک شرکت سهامی عام است.|īn bānk yak shirkat-i sahāmī-yi 'ām ast.|This bank is a public joint-stock company.|Work & Business|
2598|شرکت سهامی خاص|shirkat-i sahāmī-yi khās|noun|formal|private joint-stock company|پدرش یک شرکت سهامی خاص تاسیس کرد.|pidarash yak shirkat-i sahāmī-yi khās ta'sīs kard.|His father founded a private joint-stock company.|Work & Business|
2599|سرمایه اولیه|sarmāya-i awwaliya|noun|formal|seed capital/initial capital|ما برای شروع کار به سرمایه اولیه نیاز داریم.|mā barā-yi shurū'-i kār ba sarmāya-i awwaliya niyāz dārēm.|We need initial capital to start the work.|Geography & Places|
2600|برات|barāt|noun|formal|bill of exchange/draft|تاجر برات را برای پرداخت بدهی صادر کرد.|tājir barāt rā barā-yi pardākht-i bidihī sādir kard.|The merchant issued a bill of exchange to pay the debt.|Abstract Concepts|
2601|خزانه|khazāna|noun|formal|treasury|خزانه دولت به دلیل کاهش درآمدها خالی شده است.|khazāna-i dawlat ba dalīl-i kāhish-i dar-āmad-hā khālī shuda ast.|The government treasury has been emptied due to falling revenues.|Abstract Concepts|
2602|تراز پرداخت‌ها|tarāz-i pardākht-hā|noun|formal|balance of payments|تراز پرداخت‌های کشور وضعیت مثبتی را نشان می‌دهد.|tarāz-i pardākht-hā-yi kishwar waz'iyat-i musbatī rā nishān mēdihad.|The country's balance of payments shows a positive situation.|Abstract Concepts|
2603|اموال غیرمنقول|amwāl-i ghayr-manqūl|noun|formal|real estate/immovable property|خرید و فروش اموال غیرمنقول مالیات دارد.|kharīd-u-furōsh-i amwāl-i ghayr-manqūl māliyāt dārad.|Buying and selling real estate is taxed.|Abstract Concepts|
2604|دارایی مشهود|dārāyī-yi mashhūd|noun|formal|tangible asset|ماشین‌آلات و ساختمان‌ها جزو دارایی‌های مشهود هستند.|māshīn-ālāt wa sākhtmān-hā juzw-i dārāyī-hā-yi mashhūd hastand.|Machinery and buildings are among tangible assets.|Abstract Concepts|
2605|دارایی نامشهود|dārāyī-yi nā-mashhūd|noun|formal|intangible asset|برند و حق اختراع دارایی نامشهود محسوب می‌شوند.|birand wa haqq-i ikhtirā' dārāyī-yi nā-mashhūd mahsūb mēshawand.|Brand and patent are considered intangible assets.|Abstract Concepts|
2606|شرکت تابعه|shirkat-i tābi'a|noun|formal|subsidiary company|شرکت ما چندین شرکت تابعه در کشورهای همسایه دارد.|shirkat-i mā chandīn shirkat-i tābi'a dar kishwar-hā-yi hamsāya dārad.|Our company has several subsidiaries in neighboring countries.|Work & Business|
