kind	lexemeA	targetA	lexemeB	targetB	count
vobj	lx-0290	باید	lx-4057	ردپا	17
vobj	lx-0149	شدن	lx-0677	اقلیم	17
vobj	lx-0149	شدن	lx-0683	خشکسالی	17
vobj	lx-0382	یافتن	lx-1610	گاز	17
mod	lx-4062	اصل	lx-1515	پایدار	16
mod	lx-4849	افزایش	lx-1507	گلخانه‌ای	16
mod	lx-1517	اکوسیستم	lx-3155	ضروری	16
mod	lx-1047	هدف	lx-1515	پایدار	16
vobj	lx-0010	است	lx-1517	اکوسیستم	16
vobj	lx-0010	است	lx-0161	کشور	16
vobj	lx-0096	بودن	lx-0079	کار	16
vobj	lx-0097	کردن	lx-0318	صحبت	16
vobj	lx-0010	است	lx-4062	اصل	15
vobj	lx-0100	دادن	lx-4849	افزایش	15
vobj	lx-0095	داشتن	lx-0058	دوست	15
vobj	lx-0153	گرفتن	lx-1046	تصمیم	15
mod	lx-0036	خانه	lx-0065	کلان	14
mod	lx-3420	نقش	lx-6155	مهم	14
vobj	lx-0010	است	lx-0037	آب	14
vobj	lx-0100	دادن	lx-4066	انجام	14
vobj	lx-0089	رفتن	lx-0079	کار	14
vobj	lx-0089	رفتن	lx-0075	مکتب	14
vobj	lx-0153	گرفتن	lx-0324	قرار	14
vobj	lx-0097	کردن	lx-1237	شرکت	13
vobj	lx-0097	کردن	lx-0292	فکر	13
vobj	lx-0382	یافتن	lx-4850	کاهش	13
mod	lx-0126	هوا	lx-0072	سرد	12
vobj	lx-0010	است	lx-0133	بازار	12
vobj	lx-0010	است	lx-0242	دولت	12
vobj	lx-0241	باریدن	lx-0127	باران	12
vobj	lx-0149	شدن	lx-1342	بررسی	12
vobj	lx-0149	شدن	lx-0048	سال	12
vobj	lx-0097	کردن	lx-1049	تغییر	12
vobj	lx-0369	گذاشتن	lx-1072	تأثیر	12
vobj	lx-0010	است	lx-6025	سو	11
vobj	lx-0010	است	lx-1793	هنر	11
vobj	lx-0010	است	lx-0126	هوا	11
vobj	lx-0233	بردن	lx-0358	زمان	11
vobj	lx-0096	بودن	lx-0325	حال	11
vobj	lx-0096	بودن	lx-0078	معلم	11
vobj	lx-0095	داشتن	lx-3420	نقش	11
vobj	lx-0097	کردن	lx-0191	بازی	11
vobj	lx-0097	کردن	lx-1086	تلاش	11
mod	lx-0079	کار	lx-0310	تمام	10
vobj	lx-0010	است	lx-0273	جامعه	10
vobj	lx-0010	است	lx-1356	جرم	10
vobj	lx-0010	است	lx-4850	کاهش	10
vobj	lx-0100	دادن	lx-1049	تغییر	10
vobj	lx-0100	دادن	lx-0121	دست	10
vobj	lx-0095	داشتن	lx-1819	باور	10
vobj	lx-0095	داشتن	lx-0047	وقت	10
vobj	lx-0370	رسیدن	lx-0314	نظر	10
vobj	lx-0089	رفتن	lx-0036	خانه	10
vobj	lx-0149	شدن	lx-0215	شروع	10
vobj	lx-0149	شدن	lx-0161	کشور	10
vobj	lx-0097	کردن	lx-1073	احساس	10
vobj	lx-0097	کردن	lx-0161	کشور	10
vobj	lx-0010	است	lx-1048	پیشرفت	9
vobj	lx-0010	است	lx-1254	حقوق	9
vobj	lx-0010	است	lx-0040	روز	9
vobj	lx-0010	است	lx-0237	زمین	9
vobj	lx-0010	است	lx-0059	مردم	9
vobj	lx-0010	است	lx-0078	معلم	9
vobj	lx-0096	بودن	lx-0036	خانه	9
vobj	lx-0096	بودن	lx-0077	شاگرد	9
vobj	lx-0095	داشتن	lx-0074	کتاب	9
vobj	lx-0089	رفتن	lx-0086	کابل	9
vobj	lx-0153	گرفتن	lx-3285	صورت	9
vobj	lx-0155	نوشتن	lx-6008	نامه	9
mod	lx-0274	قانون	lx-0361	جدید	8
mod	lx-0074	کتاب	lx-0063	خوب	8
vobj	lx-0010	است	lx-0320	آدم	8
vobj	lx-0010	است	lx-0271	اقتصاد	8
vobj	lx-0010	است	lx-0266	تاریخ	8
vobj	lx-0010	است	lx-1049	تغییر	8
vobj	lx-0010	است	lx-0039	چای	8
vobj	lx-0010	است	lx-0624	راه	8
vobj	lx-0010	است	lx-0181	ساعت	8
vobj	lx-0010	است	lx-1237	شرکت	8
vobj	lx-0010	است	lx-0049	ماه	8
vobj	lx-0010	است	lx-0223	هرات	8
vobj	lx-0010	است	lx-1068	وضعیت	8
vobj	lx-0290	باید	lx-0242	دولت	8
vobj	lx-0149	شدن	lx-0325	حال	8
vobj	lx-0149	شدن	lx-2009	دقت	8
vobj	lx-0149	شدن	lx-0237	زمین	8
vobj	lx-0149	شدن	lx-0686	قطره	8
vobj	lx-0097	کردن	lx-1251	امضا	8
vobj	lx-0097	کردن	lx-1232	پرداخت	8
vobj	lx-0097	کردن	lx-0333	صبر	8
mod	lx-0039	چای	lx-0071	گرم	7
mod	lx-0080	شهر	lx-0065	کلان	7
mod	lx-0075	مکتب	lx-0067	نو	7
vobj	lx-0010	است	lx-0196	اتاق	7
vobj	lx-0010	است	lx-0052	پدر	7
vobj	lx-0010	است	lx-1332	رشد	7
vobj	lx-0010	است	lx-0088	زبان	7
vobj	lx-0010	است	lx-0150	زندگی	7
vobj	lx-0010	است	lx-0777	شبکه	7
vobj	lx-0010	است	lx-0268	شعر	7
vobj	lx-0010	است	lx-0075	مکتب	7
vobj	lx-0010	است	lx-1044	موفقیت	7
vobj	lx-0158	توانستن	lx-0087	دری	7
vobj	lx-0099	خواستن	lx-0039	چای	7
vobj	lx-0098	خواندن	lx-0216	درس	7
vobj	lx-0100	دادن	lx-1259	استعفا	7
vobj	lx-0100	دادن	lx-5349	پاسخ	7
vobj	lx-0095	داشتن	lx-0327	پول	7
vobj	lx-0089	رفتن	lx-0127	باران	7
vobj	lx-0152	زدن	lx-0151	گپ	7
vobj	lx-0149	شدن	lx-1251	امضا	7
vobj	lx-0149	شدن	lx-0244	جنگ	7
vobj	lx-0149	شدن	lx-0242	دولت	7
vobj	lx-0149	شدن	lx-0080	شهر	7
vobj	lx-0149	شدن	lx-0274	قانون	7
vobj	lx-0149	شدن	lx-0083	موتر	7
vobj	lx-0097	کردن	lx-0327	پول	7
vobj	lx-0097	کردن	lx-4045	حرکت	7
vobj	lx-0097	کردن	lx-1659	دارو	7
vobj	lx-0097	کردن	lx-0209	درد	7
vobj	lx-0097	کردن	lx-0040	روز	7
vobj	lx-0097	کردن	lx-0316	نگاه	7
vobj	lx-0153	گرفتن	lx-0314	نظر	7
mod	lx-1237	شرکت	lx-1326	مالی	6
mod	lx-0079	کار	lx-0212	سخت	6
mod	lx-0079	کار	lx-0108	مانده	6
mod	lx-0074	کتاب	lx-0067	نو	6
mod	lx-1044	موفقیت	lx-3155	ضروری	6
mod	lx-3212	هوش	lx-1033	مصنوعی	6
vobj	lx-0090	آمدن	lx-0509	رئیس	6
vobj	lx-0090	آمدن	lx-0047	وقت	6
vobj	lx-0232	آوردن	lx-0121	دست	6
vobj	lx-0232	آوردن	lx-0154	یاد	6
vobj	lx-0010	است	lx-0270	آزادی	6
vobj	lx-0010	است	lx-1820	اخلاق	6
vobj	lx-0010	است	lx-0276	ادبیات	6
vobj	lx-0010	است	lx-3795	اطلاعات	6
vobj	lx-0010	است	lx-1335	بحران	6
vobj	lx-0010	است	lx-0053	برادر	6
vobj	lx-0010	است	lx-1826	بنا	6
vobj	lx-0010	است	lx-1275	چالش	6
vobj	lx-0010	است	lx-1058	خطر	6
vobj	lx-0010	است	lx-3863	دار	6
vobj	lx-0010	است	lx-0358	زمان	6
vobj	lx-0010	است	lx-0061	زن	6
vobj	lx-0010	است	lx-0048	سال	6
vobj	lx-0010	است	lx-0077	شاگرد	6
vobj	lx-0010	است	lx-0267	فرهنگ	6
vobj	lx-0010	است	lx-0081	قریه	6
vobj	lx-0010	است	lx-0060	مرد	6
vobj	lx-0010	است	lx-1276	مشکل	6
vobj	lx-0010	است	lx-6043	میز	6
vobj	lx-0010	است	lx-0038	نان	6
vobj	lx-0010	است	lx-1047	هدف	6
vobj	lx-0010	است	lx-0704	ویروس	6
vobj	lx-0096	بودن	lx-4062	اصل	6
vobj	lx-0205	خریدن	lx-0074	کتاب	6
vobj	lx-0099	خواستن	lx-0124	دل	6
vobj	lx-0099	خواستن	lx-0074	کتاب	6
vobj	lx-0098	خواندن	lx-0087	دری	6
vobj	lx-0100	دادن	lx-0324	قرار	6
vobj	lx-0100	دادن	lx-0317	گوش	6
vobj	lx-0095	داشتن	lx-5275	تمرکز	6
vobj	lx-0089	رفتن	lx-0040	روز	6
vobj	lx-0149	شدن	lx-1050	آینده	6
vobj	lx-0149	شدن	lx-3054	استخراج	6
vobj	lx-0149	شدن	lx-4849	افزایش	6
vobj	lx-0149	شدن	lx-0121	دست	6
vobj	lx-0149	شدن	lx-0820	طراحی	6
vobj	lx-0097	کردن	lx-0037	آب	6
vobj	lx-0097	کردن	lx-5616	توصیف	6
vobj	lx-0097	کردن	lx-1332	رشد	6
vobj	lx-0097	کردن	lx-0306	مورد	6
vobj	lx-0153	گرفتن	lx-4066	انجام	6
vobj	lx-0093	گفتن	lx-1053	دروغ	6
mod	lx-1659	دارو	lx-0361	جدید	5
mod	lx-1237	شرکت	lx-0341	بزرگ	5
mod	lx-0080	شهر	lx-0341	بزرگ	5
mod	lx-1471	ماده	lx-0195	تاریک	5
mod	lx-1276	مشکل	lx-2157	جدی	5
vobj	lx-0090	آمدن	lx-0127	باران	5
vobj	lx-0090	آمدن	lx-0036	خانه	5
vobj	lx-0232	آوردن	lx-6035	تشریف	5
vobj	lx-0010	است	lx-1815	آثار	5
vobj	lx-0010	است	lx-1050	آینده	5
vobj	lx-0010	است	lx-0662	برق	5
vobj	lx-0010	است	lx-0130	بهار	5
vobj	lx-0010	است	lx-6058	بوت	5
vobj	lx-0010	است	lx-1271	پروژه	5
vobj	lx-0010	است	lx-6056	پیراهن	5
vobj	lx-0010	است	lx-1333	توسعه	5
vobj	lx-0010	است	lx-6146	حیوان	5
vobj	lx-0010	است	lx-1807	داستان	5
vobj	lx-0010	است	lx-0087	دری	5
vobj	lx-0010	است	lx-0121	دست	5
vobj	lx-0010	است	lx-2009	دقت	5
vobj	lx-0010	است	lx-3294	روان	5
vobj	lx-0010	است	lx-0131	زمستان	5
vobj	lx-0010	است	lx-3243	سیستم	5
vobj	lx-0010	است	lx-1834	شاهکار	5
vobj	lx-0010	است	lx-1898	عرفان	5
vobj	lx-0010	است	lx-0274	قانون	5
vobj	lx-0010	است	lx-0235	کارمند	5
vobj	lx-0010	است	lx-4038	کل	5
vobj	lx-0010	است	lx-0051	مادر	5
vobj	lx-0010	است	lx-3410	مجاز	5
vobj	lx-0010	است	lx-3907	محیط	5
vobj	lx-0010	است	lx-1775	مزمن	5
vobj	lx-0010	است	lx-0135	مسجد	5
vobj	lx-0010	است	lx-0741	مغز	5
vobj	lx-0010	است	lx-4053	نشانه	5
vobj	lx-0010	است	lx-1082	نیاز	5
vobj	lx-0010	است	lx-1607	هسته	5
vobj	lx-0010	است	lx-0047	وقت	5
vobj	lx-0290	باید	lx-1342	بررسی	5
vobj	lx-0233	بردن	lx-0079	کار	5
vobj	lx-0096	بودن	lx-1806	فیلم	5
vobj	lx-0096	بودن	lx-0074	کتاب	5
vobj	lx-0096	بودن	lx-0059	مردم	5
vobj	lx-0231	پوشیدن	lx-0230	لباس	5
vobj	lx-0205	خریدن	lx-0038	نان	5
vobj	lx-0099	خواستن	lx-0079	کار	5
vobj	lx-0100	دادن	lx-3358	تحلیل	5
vobj	lx-0100	دادن	lx-1657	تشخیص	5
vobj	lx-0100	دادن	lx-0079	کار	5
vobj	lx-0095	داشتن	lx-1072	تأثیر	5
vobj	lx-0095	داشتن	lx-3243	سیستم	5
vobj	lx-0095	داشتن	lx-1237	شرکت	5
vobj	lx-0095	داشتن	lx-0274	قانون	5
vobj	lx-0095	داشتن	lx-0208	کمک	5
vobj	lx-0095	داشتن	lx-6010	همراه	5
vobj	lx-0092	دیدن	lx-0036	خانه	5
vobj	lx-0089	رفتن	lx-0038	نان	5
vobj	lx-0149	شدن	lx-0037	آب	5
vobj	lx-0149	شدن	lx-1420	اعدام	5
vobj	lx-0149	شدن	lx-0703	انتان	5
vobj	lx-0149	شدن	lx-1232	پرداخت	5
vobj	lx-0149	شدن	lx-1046	تصمیم	5
vobj	lx-0149	شدن	lx-3367	ثبت	5
vobj	lx-0149	شدن	lx-1356	جرم	5
vobj	lx-0149	شدن	lx-0036	خانه	5
vobj	lx-0149	شدن	lx-1906	خط	5
vobj	lx-0149	شدن	lx-0040	روز	5
vobj	lx-0149	شدن	lx-3285	صورت	5
vobj	lx-0149	شدن	lx-0079	کار	5
vobj	lx-0149	شدن	lx-1310	کالا	5
vobj	lx-0149	شدن	lx-0074	کتاب	5
vobj	lx-0149	شدن	lx-3792	کشف	5
vobj	lx-0149	شدن	lx-1421	مجازات	5
vobj	lx-0149	شدن	lx-2720	محکوم	5
vobj	lx-0149	شدن	lx-0126	هوا	5
vobj	lx-0097	کردن	lx-0587	پرواز	5
vobj	lx-0097	کردن	lx-1048	پیشرفت	5
vobj	lx-0097	کردن	lx-1468	تصویب	5
vobj	lx-0097	کردن	lx-3210	تقویت	5
vobj	lx-0097	کردن	lx-2778	تهدید	5
vobj	lx-0097	کردن	lx-3885	ثابت	5
vobj	lx-0097	کردن	lx-2777	دشمن	5
vobj	lx-0097	کردن	lx-2195	دفاع	5
vobj	lx-0097	کردن	lx-0242	دولت	5
vobj	lx-0097	کردن	lx-0246	سفر	5
vobj	lx-0097	کردن	lx-0080	شهر	5
vobj	lx-0097	کردن	lx-4850	کاهش	5
vobj	lx-0097	کردن	lx-0524	محافظ	5
vobj	lx-0097	کردن	lx-2090	مخالفت	5
vobj	lx-0097	کردن	lx-0059	مردم	5
vobj	lx-0153	گرفتن	lx-0079	کار	5
vobj	lx-0093	گفتن	lx-0079	کار	5
mod	lx-0037	آب	lx-0071	گرم	4
mod	lx-0271	اقتصاد	lx-3155	ضروری	4
mod	lx-0133	بازار	lx-0069	زیاد	4
mod	lx-1206	تولید	lx-0069	زیاد	4
mod	lx-1275	چالش	lx-0341	بزرگ	4
mod	lx-0058	دوست	lx-0063	خوب	4
mod	lx-0048	سال	lx-0251	مبارک	4
mod	lx-6025	سو	lx-0063	خوب	4
mod	lx-0777	شبکه	lx-2138	اجتماعی	4
mod	lx-1237	شرکت	lx-0361	جدید	4
mod	lx-0081	قریه	lx-0214	آرام	4
mod	lx-0079	کار	lx-0302	درست	4
mod	lx-0059	مردم	lx-0069	زیاد	4
mod	lx-3961	نسبیت	lx-4039	عام	4
mod	lx-5547	نیرو	lx-6114	قوی	4
vobj	lx-0090	آمدن	lx-6014	شرط	4
vobj	lx-0090	آمدن	lx-0333	صبر	4
vobj	lx-0090	آمدن	lx-0208	کمک	4
vobj	lx-0090	آمدن	lx-0060	مرد	4
vobj	lx-0090	آمدن	lx-0078	معلم	4
vobj	lx-0232	آوردن	lx-0039	چای	4
vobj	lx-0010	است	lx-4065	آغاز	4
vobj	lx-0010	است	lx-0129	آفتاب	4
vobj	lx-0010	است	lx-6005	احمد	4
vobj	lx-0010	است	lx-1057	امنیت	4
vobj	lx-0010	است	lx-4066	انجام	4
vobj	lx-0010	است	lx-0127	باران	4
vobj	lx-0010	است	lx-1819	باور	4
vobj	lx-0010	است	lx-3352	بیان	4
vobj	lx-0010	است	lx-1303	تکنولوژی	4
vobj	lx-0010	است	lx-0164	چیز	4
vobj	lx-0010	است	lx-0495	خون	4
vobj	lx-0010	است	lx-0605	داخلی	4
vobj	lx-0010	است	lx-1064	دانش	4
vobj	lx-0010	است	lx-0672	درجه	4
vobj	lx-0010	است	lx-1658	درمان	4
vobj	lx-0010	است	lx-0136	دریا	4
vobj	lx-0010	است	lx-2195	دفاع	4
vobj	lx-0010	است	lx-3246	ذات	4
vobj	lx-0010	است	lx-4029	ذکر	4
vobj	lx-0010	است	lx-5325	روانی	4
vobj	lx-0010	است	lx-0082	سرک	4
vobj	lx-0010	است	lx-0211	شفاخانه	4
vobj	lx-0010	است	lx-0820	طراحی	4
vobj	lx-0010	است	lx-0706	عملیات	4
vobj	lx-0010	است	lx-0631	فاصله	4
vobj	lx-0010	است	lx-1059	فرصت	4
vobj	lx-0010	است	lx-1600	فیزیک	4
vobj	lx-0010	است	lx-2227	قدرت	4
vobj	lx-0010	است	lx-3942	قوه	4
vobj	lx-0010	است	lx-1310	کالا	4
vobj	lx-0010	است	lx-1939	کوانتوم	4
vobj	lx-0010	است	lx-1928	مهندسی	4
vobj	lx-0010	است	lx-0062	نام	4
vobj	lx-0010	است	lx-0770	نرم‌افزار	4
vobj	lx-0010	است	lx-2356	نظریه	4
vobj	lx-0290	باید	lx-1333	توسعه	4
vobj	lx-0290	باید	lx-1254	حقوق	4
vobj	lx-0290	باید	lx-3243	سیستم	4
vobj	lx-0290	باید	lx-0079	کار	4
vobj	lx-0290	باید	lx-0161	کشور	4
vobj	lx-0290	باید	lx-3907	محیط	4
vobj	lx-0096	بودن	lx-0127	باران	4
vobj	lx-0096	بودن	lx-0058	دوست	4
vobj	lx-0096	بودن	lx-0040	روز	4
vobj	lx-0096	بودن	lx-0051	مادر	4
vobj	lx-0158	توانستن	lx-4850	کاهش	4
vobj	lx-0091	خوردن	lx-0042	صبح	4
vobj	lx-0100	دادن	lx-5289	انتقال	4
vobj	lx-0100	دادن	lx-1269	پیشنهاد	4
vobj	lx-0100	دادن	lx-0245	خبر	4
vobj	lx-0100	دادن	lx-0307	کسی	4
vobj	lx-0095	داشتن	lx-0037	آب	4
vobj	lx-0095	داشتن	lx-2233	اعتقاد	4
vobj	lx-0095	داشتن	lx-0133	بازار	4
vobj	lx-0095	داشتن	lx-0053	برادر	4
vobj	lx-0095	داشتن	lx-0266	تاریخ	4
vobj	lx-0095	داشتن	lx-1264	جلسه	4
vobj	lx-0095	داشتن	lx-0121	دست	4
vobj	lx-0095	داشتن	lx-0242	دولت	4
vobj	lx-0095	داشتن	lx-0040	روز	4
vobj	lx-0095	داشتن	lx-6021	قصد	4
vobj	lx-0095	داشتن	lx-1421	مجازات	4
vobj	lx-0095	داشتن	lx-3907	محیط	4
vobj	lx-0095	داشتن	lx-0814	نقاشی	4
vobj	lx-0095	داشتن	lx-0126	هوا	4
vobj	lx-0089	رفتن	lx-0037	آب	4
vobj	lx-0152	زدن	lx-0349	زنگ	4
vobj	lx-0375	ساختن	lx-0075	مکتب	4
vobj	lx-0149	شدن	lx-1751	استرس	4
vobj	lx-0149	شدن	lx-1351	انتخابات	4
vobj	lx-0149	شدن	lx-2065	تبدیل	4
vobj	lx-0149	شدن	lx-3358	تحلیل	4
vobj	lx-0149	شدن	lx-0578	ترافیک	4
vobj	lx-0149	شدن	lx-1468	تصویب	4
vobj	lx-0149	شدن	lx-1224	تورم	4
vobj	lx-0149	شدن	lx-3786	دادگاه	4
vobj	lx-0149	شدن	lx-5325	روانی	4
vobj	lx-0149	شدن	lx-1916	سرور	4
vobj	lx-0149	شدن	lx-3243	سیستم	4
vobj	lx-0149	شدن	lx-4047	فضا	4
vobj	lx-0149	شدن	lx-4850	کاهش	4
vobj	lx-0149	شدن	lx-1353	محکمه	4
vobj	lx-0149	شدن	lx-0059	مردم	4
vobj	lx-0149	شدن	lx-2748	مرز	4
vobj	lx-0149	شدن	lx-0701	مرض	4
vobj	lx-0149	شدن	lx-0075	مکتب	4
vobj	lx-0149	شدن	lx-1044	موفقیت	4
vobj	lx-0149	شدن	lx-2744	نقض	4
vobj	lx-0097	کردن	lx-1381	اعتصاب	4
vobj	lx-0097	کردن	lx-0271	اقتصاد	4
vobj	lx-0097	کردن	lx-1057	امنیت	4
vobj	lx-0097	کردن	lx-1335	بحران	4
vobj	lx-0097	کردن	lx-0662	برق	4
vobj	lx-0097	کردن	lx-0125	پای	4
vobj	lx-0097	کردن	lx-2065	تبدیل	4
vobj	lx-0097	کردن	lx-2894	تجویز	4
vobj	lx-0097	کردن	lx-5274	توجه	4
vobj	lx-0097	کردن	lx-3367	ثبت	4
vobj	lx-0097	کردن	lx-1356	جرم	4
vobj	lx-0097	کردن	lx-2084	حمایت	4
vobj	lx-0097	کردن	lx-2282	درک	4
vobj	lx-0097	کردن	lx-1817	رسم	4
vobj	lx-0097	کردن	lx-0048	سال	4
vobj	lx-0097	کردن	lx-1201	سرمایه‌گذاری	4
vobj	lx-0097	کردن	lx-0777	شبکه	4
vobj	lx-0097	کردن	lx-1406	فقر	4
vobj	lx-0097	کردن	lx-0274	قانون	4
vobj	lx-0097	کردن	lx-1979	کاربر	4
vobj	lx-0097	کردن	lx-1895	گریه	4
vobj	lx-0097	کردن	lx-3907	محیط	4
vobj	lx-0097	کردن	lx-3196	مقاومت	4
vobj	lx-0097	کردن	lx-0075	مکتب	4
vobj	lx-0097	کردن	lx-3239	موافقت	4
vobj	lx-0097	کردن	lx-0083	موتر	4
vobj	lx-0097	کردن	lx-1044	موفقیت	4
vobj	lx-0097	کردن	lx-3867	موکل	4
vobj	lx-0097	کردن	lx-0814	نقاشی	4
vobj	lx-0097	کردن	lx-1832	نقد	4
vobj	lx-0097	کردن	lx-1082	نیاز	4
vobj	lx-0388	کشتن	lx-1275	چالش	4
vobj	lx-0369	گذاشتن	lx-0271	اقتصاد	4
vobj	lx-0153	گرفتن	lx-0121	دست	4
vobj	lx-0153	گرفتن	lx-1231	وام	4
vobj	lx-0093	گفتن	lx-0078	معلم	4
vobj	lx-0382	یافتن	lx-0161	کشور	4
mod	lx-0037	آب	lx-3013	آشامیدنی	3
mod	lx-0037	آب	lx-0069	زیاد	3
mod	lx-0270	آزادی	lx-6155	مهم	3
mod	lx-1513	آلاینده	lx-0069	زیاد	3
mod	lx-3945	انرژی	lx-0195	تاریک	3
mod	lx-0127	باران	lx-0069	زیاد	3
mod	lx-0127	باران	lx-0681	شدید	3
mod	lx-0133	بازار	lx-0361	جدید	3
mod	lx-1814	باستانی	lx-0069	زیاد	3
mod	lx-1335	بحران	lx-1326	مالی	3
mod	lx-1272	برنامه‌ریزی	lx-2163	دقیق	3
mod	lx-3222	تحرک	lx-2138	اجتماعی	3
mod	lx-1468	تصویب	lx-0361	جدید	3
mod	lx-1333	توسعه	lx-0361	جدید	3
mod	lx-0039	چای	lx-0063	خوب	3
mod	lx-0039	چای	lx-0145	سبز	3
mod	lx-3858	حریم	lx-0976	خصوصی	3
mod	lx-0197	دروازه	lx-0199	باز	3
mod	lx-0121	دست	lx-0070	کم	3
mod	lx-1274	دستاورد	lx-0341	بزرگ	3
mod	lx-0242	دولت	lx-0361	جدید	3
mod	lx-0844	رسانه‌ها	lx-6155	مهم	3
mod	lx-1332	رشد	lx-1210	اقتصادی	3
mod	lx-0131	زمستان	lx-0072	سرد	3
mod	lx-0150	زندگی	lx-0214	آرام	3
mod	lx-0048	سال	lx-0067	نو	3
mod	lx-6025	سو	lx-6156	ارزان	3
mod	lx-0272	سیاست	lx-1326	مالی	3
mod	lx-3243	سیستم	lx-2821	تعبیه‌شده	3
mod	lx-3243	سیستم	lx-6155	مهم	3
mod	lx-0080	شهر	lx-0259	قدیمی	3
mod	lx-1270	طرح	lx-0361	جدید	3
mod	lx-0238	قلم	lx-0067	نو	3
mod	lx-0086	کابل	lx-0063	خوب	3
mod	lx-0086	کابل	lx-0065	کلان	3
mod	lx-0079	کار	lx-0199	باز	3
mod	lx-0079	کار	lx-0064	بد	3
mod	lx-0079	کار	lx-6155	مهم	3
mod	lx-0208	کمک	lx-0312	تنها	3
mod	lx-1610	گاز	lx-1516	سمی	3
mod	lx-0230	لباس	lx-0071	گرم	3
mod	lx-1421	مجازات	lx-0497	سنگین	3
mod	lx-3907	محیط	lx-0361	جدید	3
mod	lx-3907	محیط	lx-2340	سازگار	3
mod	lx-0078	معلم	lx-6017	محترم	3
mod	lx-0078	معلم	lx-0067	نو	3
mod	lx-0083	موتر	lx-0265	خراب	3
mod	lx-0038	نان	lx-0066	خورد	3
mod	lx-2226	نفوذ	lx-0069	زیاد	3
mod	lx-1082	نیاز	lx-4040	خاص	3
mod	lx-0223	هرات	lx-0259	قدیمی	3
vobj	lx-0090	آمدن	lx-0058	دوست	3
vobj	lx-0010	است	lx-0147	آسمان	3
vobj	lx-0010	است	lx-5602	آشکار	3
vobj	lx-0010	است	lx-3168	اختلال	3
vobj	lx-0010	است	lx-0339	استفاده	3
vobj	lx-0010	است	lx-0207	افغانی	3
vobj	lx-0010	است	lx-0677	اقلیم	3
vobj	lx-0010	است	lx-1606	الکترون	3
vobj	lx-0010	است	lx-1914	الگوریتم	3
vobj	lx-0010	است	lx-1814	باستانی	3
vobj	lx-0010	است	lx-1342	بررسی	3
vobj	lx-0010	است	lx-0588	بکس	3
vobj	lx-0010	است	lx-0125	پای	3
vobj	lx-0010	است	lx-0613	پایین	3
vobj	lx-0010	است	lx-2360	پدیده	3
vobj	lx-0010	است	lx-6145	پرنده	3
vobj	lx-0010	است	lx-0525	تاجر	3
vobj	lx-0010	است	lx-0275	تجارت	3
vobj	lx-0010	است	lx-1224	تورم	3
vobj	lx-0010	است	lx-3885	ثابت	3
vobj	lx-0010	است	lx-0163	جای	3
vobj	lx-0010	است	lx-0253	جشن	3
vobj	lx-0010	است	lx-3314	حد	3
vobj	lx-0010	است	lx-1052	حقیقت	3
vobj	lx-0010	است	lx-0490	خاک	3
vobj	lx-0010	است	lx-0138	درخت	3
vobj	lx-0010	است	lx-1274	دستاورد	3
vobj	lx-0010	است	lx-0134	دکان	3
vobj	lx-0010	است	lx-6045	دیوار	3
vobj	lx-0010	است	lx-0827	رمان	3
vobj	lx-0010	است	lx-1637	ژنتیک	3
vobj	lx-0010	است	lx-3242	ساختار	3
vobj	lx-0010	است	lx-0532	ساختمان	3
vobj	lx-0010	است	lx-0148	ستاره	3
vobj	lx-0010	است	lx-3943	سرعت	3
