# Darya core lexicon - B1 batch (AI scripted)
# rank|dari|translit|pos|register|glossEn|exampleDari|exampleTranslit|exampleEn|tags|variants
1274|دستاورد|dastāward|noun|neutral|achievement|این یک دستاورد بزرگ برای تیم ما است.|īn yak dastāward-i buzurg barāyi tīm-i mā ast.|This is a great achievement for our team.|Abstract Concepts|
1275|چالش|chālish|noun|neutral|challenge|ما با چالش‌های بزرگی روبرو هستیم.|mā bā chālish-hā-yi buzurgī rōbarō hastēm.|We are facing great challenges.|Abstract Concepts|
1276|مشکل|mushkil|noun|neutral|problem|این مشکل به زودی حل می‌شود.|īn mushkil ba zūdī hal mēshawad.|This problem will be solved soon.|Abstract Concepts|
1277|راه‌حل|rāh-i hal|noun|neutral|solution|ما باید یک راه‌حل مناسب پیدا کنیم.|mā bāyad yak rāh-i hal-i munāsib paydā kunēm.|We must find a suitable solution.|Abstract Concepts|
1278|تصمیم‌گیری|tasmīm-gīrī|noun|neutral|decision-making|پروسه تصمیم‌گیری بسیار طولانی بود.|purōsa-yi tasmīm-gīrī bisyār tūlānī būd.|The decision-making process was very long.|Abstract Concepts|
1279|توافق|tawāfuq|noun|neutral|agreement|دو طرف به توافق رسیدند.|dū taraf ba tawāfuq rasēdand.|The two sides reached an agreement.|Abstract Concepts|
1280|مذاکره|muzākira|noun|neutral|negotiation|مذاکره با شرکت خارجی ادامه دارد.|muzākira bā shirkat-i khārijī idāma dārad.|The negotiation with the foreign company continues.|Abstract Concepts|
1281|شریک|sharīk|noun|neutral|partner|او شریک تجاری من است.|ō sharīk-i tijārī-yi man ast.|He is my business partner.|Abstract Concepts|
1282|شراکت|sharākat|noun|neutral|partnership|این شراکت به نفع هر دو طرف است.|īn sharākat ba naf'-i har dū taraf ast.|This partnership is to the benefit of both sides.|Abstract Concepts|
1283|سهم|sahm|noun|neutral|share|سهم او در این شرکت بیست درصد است.|sahm-i ō dar īn shirkat bēst darsad ast.|His share in this company is twenty percent.|Abstract Concepts|
1284|سهام|sahām|noun|neutral|shares/stocks|ارزش سهام شرکت در بورس بالا رفت.|arzish-i sahām-i shirkat dar bōrs bālā raft.|The value of the company's shares went up in the stock market.|Abstract Concepts|
1285|بورس|bōrs|noun|neutral|stock exchange|بازار بورس امروز نوسان زیادی داشت.|bāzār-i bōrs imrōz nawasān-i ziyādī dāsht.|The stock market had a lot of fluctuation today.|Abstract Concepts|
1286|سرمایه|sarmāya|noun|neutral|capital|ما سرمایه کافی برای شروع کار نداریم.|mā sarmāya-yi kāfī barāyi shurū'-i kār nadārēm.|We do not have enough capital to start the work.|Geography & Places|
1287|دارایی|dārāyī|noun|neutral|asset/wealth|دارایی‌های شرکت محاسبه شد.|dārāyī-hā-yi shirkat muhāsiba shud.|The company's assets were calculated.|Abstract Concepts|
1288|ملکیت|milkīyat|noun|neutral|property|این زمین ملکیت خصوصی است.|īn zamīn milkīyat-i khususī ast.|This land is private property.|Abstract Concepts|
1289|املاک|amlāk|noun|neutral|real estate/properties|بازار املاک و مستغلات رکود کرده است.|bāzār-i amlāk wa mustaghallāt rukūd karda ast.|The real estate market has stagnated.|Abstract Concepts|
1290|اجاره|ijāra|noun|neutral|lease/rent|ما این ساختمان را اجاره کردیم.|mā īn sākhtimān rā ijāra kardēm.|We leased this building.|Abstract Concepts|
1291|فروشات|furōshāt|noun|neutral|sales|گزارش فروشات این هفته عالی بود.|guzārish-i furōshāt-i īn hafta 'ālī būd.|The sales report this week was excellent.|Abstract Concepts|
1292|خریداری|kharīdārī|noun|neutral|purchasing/buying|خریداری مواد خام فردا انجام می‌شود.|kharīdārī-yi mawād-i khām fardā anjām mēshawad.|The purchasing of raw materials will be done tomorrow.|Abstract Concepts|
1293|مشتری|mushtarī|noun|neutral|customer/client|رضایت مشتری اولویت ماست.|rizāyat-i mushtarī awwalīyat-i māst.|Customer satisfaction is our priority.|Abstract Concepts|
1294|رقابت|raqābat|noun|neutral|competition|رقابت در بازار بسیار شدید است.|raqābat dar bāzār bisyār shadīd ast.|The competition in the market is very intense.|Abstract Concepts|
1295|رقیب|raqīb|noun|neutral|competitor|شرکت ما یک رقیب قوی در بازار دارد.|shirkat-i mā yak raqīb-i qawī dar bāzār dārad.|Our company has a strong competitor in the market.|Abstract Concepts|
1296|استاندارد|istāndārd|noun|neutral|standard|این محصول با استاندارد جهانی مطابقت دارد.|īn mahsūl bā istāndārd-i jahānī mutābiqat dārad.|This product complies with the international standard.|Abstract Concepts|
1297|معیار|mi'yār|noun|neutral|criterion/standard|معیار انتخاب کارمندان تغییر کرده است.|mi'yār-i intikhāb-i kārmandān taghyīr karda ast.|The criterion for selecting employees has changed.|Abstract Concepts|
1298|صنعت|san'at|noun|neutral|industry|صنعت نساجی در کشور در حال رشد است.|san'at-i nassājī dar kishwar dar hāl-i rushd ast.|The textile industry in the country is growing.|Work & Business|
1299|صنعتی|san'atī|adjective|neutral|industrial|شهرک صنعتی جدید افتتاح شد.|shahrak-i san'atī-yi jadīd iftitāh shud.|The new industrial park was inaugurated.|Descriptions & Qualities|
1300|فابریکه|fābrīka|noun|neutral|factory|این فابریکه روزانه صد موتر تولید می‌کند.|īn fābrīka rōzāna sad mōtar tawlīd mēkunad.|This factory produces a hundred cars daily.|Abstract Concepts|
1301|کارخانه|kārkhāna|noun|neutral|factory|کارگران در کارخانه اعتصاب کردند.|kārgarān dar kārkhāna i'tisāb kardand.|The workers in the factory went on strike.|Abstract Concepts|
1302|ماشین‌آلات|māshīn-ālāt|noun|neutral|machinery|شرکت ماشین‌آلات جدید وارد کرد.|shirkat māshīn-ālāt-i jadīd wārid kard.|The company imported new machinery.|Abstract Concepts|
1303|تکنولوژی|tiknōlōzhī|noun|neutral|technology|تکنولوژی جدید سرعت کار را بالا برده است.|tiknōlōzhī-yi jadīd sur'at-i kār rā bālā burda ast.|New technology has increased the speed of work.|Science & Technology|
1304|ارتباطات|irtibātāt|noun|neutral|communications|بخش ارتباطات با مشتریان تماس گرفت.|bakhsh-i irtibātāt bā mushtarīyān tamās girift.|The communications department contacted the customers.|Abstract Concepts|
1305|مخابرات|mukhābirāt|noun|neutral|telecommunications|شرکت مخابرات خدمات جدیدی ارائه می‌دهد.|shirkat-i mukhābirāt khadamāt-i jadīdī irā'a mēdihad.|The telecommunications company offers new services.|Abstract Concepts|
1306|حمل‌ونقل|haml-wa-naql|noun|neutral|transportation|هزینه حمل‌ونقل کالا افزایش یافته است.|hazīna-yi haml-wa-naql-i kālā afzāyish yāfta ast.|The transportation cost of goods has increased.|Abstract Concepts|
1307|ترانسپورت|tarānspōrt|noun|neutral|transport|سیستم ترانسپورت عمومی نیاز به بهبود دارد.|sīstam-i tarānspōrt-i 'umūmī nīyāz ba bihbūd dārad.|The public transport system needs improvement.|Abstract Concepts|
1308|تعرفه|ta'rifa|noun|neutral|tariff|دولت تعرفه واردات را کاهش داد.|dawlat ta'rifa-yi wāridāt rā kāhish dād.|The government reduced the import tariff.|Abstract Concepts|
1309|محصول|mahsūl|noun|neutral|product|این محصول جدید در بازار پرفروش است.|īn mahsūl-i jadīd dar bāzār purfurōsh ast.|This new product is a best-seller in the market.|Abstract Concepts|
1310|کالا|kālā|noun|neutral|goods/commodity|قیمت کالاهای اساسی بالا رفته است.|qīmat-i kālā-hā-yi asāsī bālā rafta ast.|The price of basic goods has gone up.|Abstract Concepts|
1311|جنس|jins|noun|neutral|item/goods|این جنس کیفیت خوبی ندارد.|īn jins kayfīyat-i khūbī nadārad.|This item does not have good quality.|Abstract Concepts|
1312|اجناس|ajnās|noun|neutral|goods/merchandise|فروشگاه اجناس جدیدی آورده است.|furōshgāh ajnās-i jadīdī āwurda ast.|The store has brought new merchandise.|Abstract Concepts|
1313|انبار|anbār|noun|neutral|warehouse|انبار ما پر از مواد اولیه است.|anbār-i mā pur az mawād-i awwalīya ast.|Our warehouse is full of raw materials.|Abstract Concepts|
1314|گدام|gudām|noun|neutral|warehouse/storage|اجناس در گدام نگهداری می‌شوند.|ajnās dar gudām nigahdārī mēshawand.|The goods are kept in the warehouse.|Abstract Concepts|
1315|توزیع|tawzē'|noun|neutral|distribution|توزیع محصولات از فردا آغاز می‌شود.|tawzē'-i mahsūlāt az fardā āghāz mēshawad.|The distribution of products will begin tomorrow.|Abstract Concepts|
1316|پخش|pakhsh|noun|neutral|distribution/broadcast|پخش این کالا در سراسر کشور انجام می‌شود.|pakhsh-i īn kālā dar sarāsar-i kishwar anjām mēshawad.|The distribution of this commodity is done across the country.|Communication & Media|
1317|عمده‌فروشی|'umda-furōshī|noun|neutral|wholesale|ما اجناس را به قیمت عمده‌فروشی می‌خریم.|mā ajnās rā ba qīmat-i 'umda-furōshī mēkharēm.|We buy the goods at wholesale price.|Abstract Concepts|
1318|پرچون‌فروشی|parchūn-furōshī|noun|neutral|retail|مغازه ما یک پرچون‌فروشی کوچک است.|maghāza-yi mā yak parchūn-furōshī-yi kōchak ast.|Our shop is a small retail store.|Abstract Concepts|
1319|خرده‌فروشی|khurda-furōshī|noun|neutral|retail|بخش خرده‌فروشی سود زیادی دارد.|bakhsh-i khurda-furōshī sūd-i ziyādī dārad.|The retail sector has a lot of profit.|Abstract Concepts|
1320|مفاد|mufād|noun|neutral|profit/benefit|این تجارت مفاد خوبی برای ما دارد.|īn tijārat mufād-i khūbī barāyi mā dārad.|This business has a good profit for us.|Abstract Concepts|
1321|بیلانس|bīlāns|noun|neutral|balance|بیلانس مالی شرکت مثبت است.|bīlāns-i mālī-yi shirkat musbat ast.|The financial balance of the company is positive.|Abstract Concepts|
1322|ترازنامه|tarāznāma|noun|neutral|balance sheet|ترازنامه پایان سال آماده شد.|tarāznāma-yi pāyān-i sāl āmāda shud.|The year-end balance sheet was prepared.|Abstract Concepts|
1323|رسید|rasēd|noun|neutral|receipt|لطفاً رسید پرداخت را نزد خود نگهدارید.|lutfan rasēd-i pardākht rā nazd-i khud nigahdārēd.|Please keep the payment receipt with you.|Abstract Concepts|
1324|فاکتور|fāktōr|noun|neutral|invoice|فاکتور خرید به ایمیل شما ارسال شد.|fāktōr-i kharīd ba īmēl-i shumā irsāl shud.|The purchase invoice was sent to your email.|Abstract Concepts|
1325|بل|bil|noun|neutral|bill/invoice|من بل برق را دیروز پرداخت کردم.|man bil-i barq rā dīrōz pardākht kardam.|I paid the electricity bill yesterday.|Abstract Concepts|
1326|مالی|mālī|adjective|neutral|financial|وضعیت مالی شرکت رو به بهبود است.|waz'īyat-i mālī-yi shirkat rō ba bihbūd ast.|The financial situation of the company is improving.|Descriptions & Qualities|
1327|اقتصاددان|iqtisāddān|noun|neutral|economist|اقتصاددانان پیش‌بینی مثبتی دارند.|iqtisāddānān pēsh-bīnī-yi musbatī dārand.|Economists have a positive forecast.|Abstract Concepts|
1328|کارآفرین|kār-āfarīn|noun|neutral|entrepreneur|او یک کارآفرین موفق در بخش تکنولوژی است.|ō yak kār-āfarīn-i muwaffaq dar bakhsh-i tiknōlōzhī ast.|He is a successful entrepreneur in the technology sector.|Abstract Concepts|
1329|کارآفرینی|kār-āfarīnī|noun|neutral|entrepreneurship|دولت از پروژه‌های کارآفرینی حمایت می‌کند.|dawlat az purōzha-hā-yi kār-āfarīnī himāyat mēkunad.|The government supports entrepreneurship projects.|Abstract Concepts|
1330|ابتکار|ibtikār|noun|neutral|initiative/innovation|این طرح یک ابتکار جدید در بازار است.|īn tarh yak ibtikār-i jadīd dar bāzār ast.|This plan is a new initiative in the market.|Abstract Concepts|
1331|نوآوری|naw-āwarī|noun|neutral|innovation|نوآوری برای موفقیت در تجارت ضروری است.|naw-āwarī barāyi muwaffaqīyat dar tijārat zarūrī ast.|Innovation is essential for success in business.|Abstract Concepts|
1332|رشد|rushd|noun|neutral|growth|رشد اقتصادی امسال امیدوارکننده است.|rushd-i iqtisādī imsāl umēdwār-kunanda ast.|The economic growth this year is promising.|Abstract Concepts|
1333|توسعه|tawsi'a|noun|neutral|development|توسعه زیرساخت‌ها در دستور کار قرار دارد.|tawsi'a-yi zērsākht-hā dar dastūr-i kār qarār dārad.|Infrastructure development is on the agenda.|Abstract Concepts|
1334|رکود|rukūd|noun|neutral|recession/stagnation|اقتصاد جهان با رکود مواجه شده است.|iqtisād-i jahān bā rukūd muwājih shuda ast.|The global economy has faced a recession.|Abstract Concepts|
1335|بحران|buhrān|noun|neutral|crisis|شرکت توانست بحران مالی را پشت سر بگذارد.|shirkat tawānist buhrān-i mālī rā pusht-i sar bugzārad.|The company managed to overcome the financial crisis.|Abstract Concepts|
1336|ثبات|sabāt|noun|neutral|stability|ثبات اقتصادی برای سرمایه‌گذاری مهم است.|sabāt-i iqtisādī barāyi sarmāya-guzārī muhim ast.|Economic stability is important for investment.|Abstract Concepts|
1337|نوسان|nawasān|noun|neutral|fluctuation|نوسان قیمت ارز تجار را نگران کرده است.|nawasān-i qīmat-i arz tujjār rā nigarān karda ast.|The fluctuation of currency prices has worried merchants.|Abstract Concepts|
1338|آمار|āmār|noun|neutral|statistics|آمار بیکاری در سال جاری کاهش یافت.|āmār-i bēkārī dar sāl-i jārī kāhish yāft.|The unemployment statistics decreased this year.|Abstract Concepts|
1339|احصائیه|ihsā'īya|noun|neutral|statistics|اداره احصائیه گزارش جدیدی نشر کرد.|idāra-yi ihsā'īya guzārish-i jadīdī nashr kard.|The statistics office published a new report.|Abstract Concepts|
1340|نظرسنجی|nazar-sanjī|noun|neutral|poll/survey|ما یک نظرسنجی از مشتریان انجام دادیم.|mā yak nazar-sanjī az mushtarīyān anjām dādēm.|We conducted a survey of the customers.|Abstract Concepts|
