rank	word	subsRank	wikiRank
579	basada	6727	1676
580	sobte	1771	6382
581	xèrif	769	14700
582	bala	1667	6793
583	lliurar	4135	2740
584	previst	3534	3212
585	estatal	6655	1710
586	metall	4967	2294
587	funcionament	7559	1510
588	bestiar	4277	2674
589	creuar	2361	4850
590	acosta	1675	6894
591	dimensió	2792	4142
592	aliments	6499	1781
593	municipal	17335	668
594	joventut	5766	2009
595	fundar	11529	1006
596	embarassada	1751	6626
597	renunciar	3724	3118
598	assolir	7778	1495
599	líders	5196	2238
600	infantil	4980	2338
601	reconegut	5360	2174
602	teulada	4706	2482
603	breu	5775	2023
604	iniciativa	5270	2217
605	populars	9585	1219
606	orde	7197	1627
607	atès	6130	1919
608	nadó	1255	9377
609	hereu	3242	3655
610	consisteix	9683	1224
611	puta	343	34592
612	trajectòria	5588	2124
613	recull	5107	2325
614	guàrdies	2119	5604
615	gratuït	18867	630
616	fals	2432	4888
617	llengües	11776	1010
618	gravar	4892	2432
619	confirmar	4180	2851
620	roig	5886	2025
621	basat	6582	1815
622	solia	2117	5652
623	agrícoles	43577	275
624	permès	3374	3563
625	etapa	14358	838
626	extremadament	3657	3295
627	criminal	1686	7151
628	guerrer	1666	7243
629	negatiu	3013	4012
630	subjecte	3504	3451
631	propers	4443	2722
632	lleugerament	7114	1705
633	assalt	3246	3745
634	droga	1557	7831
635	vicepresident	3851	3184
636	alto	1990	6178
637	armada	4383	2814
638	termini	4978	2481
639	tancs	3514	3523
640	càstig	2437	5088
641	comuna	7780	1594
642	àcid	5172	2412
643	fantasma	1901	6579
644	milles	1838	6828
645	criatures	2353	5338
646	pròxim	2588	4860
647	pal	3229	3896
648	fidel	3457	3654
649	elegit	7272	1743
650	fórmula	4301	2951
651	criatura	1640	7744
652	lleialtat	2296	5540
653	dolça	2457	5227
654	revolta	6523	1990
655	combinació	6445	2018
656	omplir	2931	4440
657	governar	4150	3139
658	ira	2681	4869
659	plataforma	6807	1925
660	interna	5126	2559
661	fulla	3873	3390
662	eixe	1930	6806
663	mon	1066	12365
664	varietat	12163	1085
665	aparició	9040	1460
666	reparació	13194	1001
667	prové	8159	1621
668	guitarra	5195	2546
669	culte	7670	1726
670	noces	2173	6093
671	russa	4789	2770
672	von	7504	1773
673	mantingut	4282	3114
674	poderós	2329	5752
675	ideal	4619	2902
676	barreja	5316	2533
677	mode	5003	2692
678	bogeria	1187	11364
679	benvinguda	1426	9470
680	similars	10383	1312
681	artilleria	5409	2519
682	indi	2854	4789
683	novament	8355	1636
684	concret	4818	2840
685	incident	3503	3928
686	tècnic	5746	2395
687	suïcidi	2304	5999
688	exercici	4309	3227
689	consta	16242	862
690	afers	4838	2904
691	profunditat	6546	2153
692	campionat	17108	824
693	increïble	821	17173
694	jueu	3427	4118
695	aèria	6047	2341
696	gra	3148	4497
697	desaparició	4003	3541
698	substituir	6142	2309
699	gros	1880	7561
700	òbviament	1670	8513
701	lateral	8448	1683
702	cul	633	22516
703	convençut	2479	5767
704	oxigen	4248	3367
705	plegat	2188	6547
706	pietat	2349	6119
707	infància	5009	2884
708	idioma	4341	3334
709	dolç	1923	7536
710	literalment	3320	4366
711	maleït	716	20347
712	típic	4517	3234
713	diable	1912	7661
714	fruit	7979	1837
715	encarregar	5037	2919
716	riba	5738	2568
717	inclòs	5848	2524
718	règim	10628	1395
719	àrab	10018	1482
720	experts	4571	3256
721	masses	4441	3355
722	procediment	5089	2938
723	altar	6137	2445
724	actualitat	16910	888
725	destinat	5901	2547
726	activa	6898	2179
727	context	10098	1489
728	rostre	3274	4606
729	rastre	1876	8068
730	regular	7632	1984
731	muntar	3362	4505
732	rescat	3152	4809
733	oriental	15832	958
734	traïció	2399	6325
735	europea	12663	1199
736	muralles	5005	3039
737	recepció	3048	5001
738	pura	2807	5443
739	nombroses	18153	843
740	centres	10500	1459
741	recórrer	5118	3005
742	ficció	6753	2281
743	preocupat	1791	8603
744	xinès	4898	3180
745	tub	4694	3325
746	flux	7549	2068
747	circular	9433	1661
748	xoc	3508	4467
749	crític	7306	2145
750	sorprenent	2536	6189
751	intercanvi	4912	3207
752	vós	539	29269
753	cec	2064	7647
754	definició	8413	1877
755	incloure	12382	1276
756	profundament	3312	4775
757	muralla	8029	1972
758	àmbit	14566	1087
759	cristià	4007	3952
760	finalitat	8828	1794
761	regiment	5104	3104
762	infanteria	7212	2202
763	japonesos	5024	3169
764	nomenar	6735	2367
765	alerta	1501	10622
766	esclau	2024	7896
767	extra	2625	6107
768	multitud	4741	3385
769	recorregut	7886	2036
770	xicot	1461	10997
771	vés	412	39039
772	vital	3243	4966
773	disposa	13314	1220
774	universal	7742	2103
775	editor	6913	2360
776	convent	9780	1672
777	gai	2994	5464
778	glòria	2259	7272
779	geni	2006	8197
780	remei	2930	5619
781	femení	7274	2266
782	adoptar	8099	2045
783	implica	6145	2699
784	esbrinar	1507	11017
785	rere	2653	6262
786	funeral	2532	6564
787	monestir	14941	1116
788	recinte	9653	1728
789	assegut	1887	8850
790	productor	6853	2437
791	visual	6651	2514
792	introduir	11044	1516
793	misteri	2759	6100
794	correctament	4579	3676
795	nuclear	4391	3835
796	manual	5527	3052
797	cobrir	5050	3346
798	particulars	23280	730
799	judicial	5239	3249
800	impedir	5647	3015
801	batalló	3745	4557
802	barra	4600	3711
803	esquerre	6709	2549
804	comparació	7037	2433
805	civilització	4218	4062
806	bruixa	1484	11552
807	comporta	4911	3493
808	elevat	8565	2007
809	joies	3228	5329
810	perillosa	2202	7819
811	cinquè	5278	3268
812	europeus	11801	1467
813	localitzar	3402	5095
814	segell	6055	2868
815	cabina	2856	6082
816	decoració	12358	1410
817	ubicació	7021	2483
818	con	3898	4475
819	esmentar	4099	4271
820	fum	2769	6333
821	envoltat	5027	3491
822	cadàvers	2472	7101
823	inicialment	19007	928
824	conducta	5159	3434
825	armats	4009	4426
826	òrgans	5462	3254
827	intervenció	8729	2047
828	explotar	3313	5399
829	bàndol	3388	5287
830	toc	2474	7247
831	cobertura	4700	3815
832	naturalment	2128	8499
833	individual	10051	1800
834	components	10063	1799
835	tir	4289	4221
836	particularment	7593	2387
837	combatre	5376	3392
838	exili	6389	2856
839	fixa	4862	3753
840	mestra	4251	4295
841	preocupa	1400	13068
842	cercar	3712	4933
843	inclús	2710	6782
844	dotzena	3023	6080
845	essencial	6505	2826
846	visible	8778	2096
847	existir	6838	2708
848	almirall	3749	4947
849	marines	4376	4247
850	reconeix	5597	3322
851	bola	3816	4897
852	femenina	8154	2296
853	traduït	3948	4746
854	emetre	7967	2352
855	localització	4197	4465
856	fabricació	12047	1560
857	mecanisme	8225	2288
858	expert	3159	5963
859	incapaç	3798	4965
860	elèctric	5675	3324
861	tanc	2975	6346
862	celebració	6806	2777
863	extensió	11503	1657
864	impressionant	2014	9490
865	entitat	14158	1351
866	niu	3194	6018
867	aparegut	4161	4631
868	sencera	3597	5367
869	observació	5773	3354
870	certament	2226	8745
871	estadi	9016	2163
872	mortal	2998	6508
873	revelar	5786	3375
874	sorgir	8755	2235
875	siga	2433	8070
876	fira	5333	3693
877	depenent	9391	2101
878	cavalleria	7299	2705
879	artístic	11348	1744
880	manuscrit	4732	4207
881	coma	4560	4378
882	atractiu	3763	5311
883	electoral	6558	3050
884	prohibit	3860	5217
885	llegat	5047	3994
886	lligat	4393	4592
887	característica	13347	1514
888	gestió	13911	1453
889	sac	2605	7781
890	seqüència	8141	2508
891	voluntaris	5362	3809
892	estendre	9102	2248
893	aplicar	9381	2182
894	diana	3616	5671
895	testament	6610	3103
896	regnat	10464	1961
897	ona	6608	3108
898	fletxa	3162	6496
899	establiment	9684	2122
900	executar	5701	3618
901	mèdic	4030	5136
902	professió	6494	3195
903	grandària	9292	2234
904	ampolla	2709	7671
905	sobreviscut	3623	5745
906	flames	3037	6862
907	parents	4106	5086
908	expressar	8590	2444
909	romàntic	3136	6703
910	europeu	13362	1574
911	relativament	15773	1334
912	atracció	4091	5145
913	instant	3558	5917
914	inspiració	5888	3580
915	perdona	513	41333
916	enfront	7781	2726
917	moll	3439	6172
918	originalment	12923	1645
919	proporcionar	10017	2125
920	núvia	2403	8875
921	distingir	8244	2589
922	pàtria	3840	5560
923	verí	2306	9274
924	absoluta	5869	3644
925	fila	3345	6397
926	concedir	7353	2913
927	desgràcia	2938	7294
928	màscara	3237	6637
929	capdavant	6616	3262
930	indiquen	7102	3047
931	jurar	2388	9086
932	petó	1651	13168
933	estén	7903	2767
934	creador	5212	4215
935	directora	6915	3181
936	religiosa	12048	1829
937	rates	2494	8859
938	vocal	7511	2945
939	vessant	15707	1409
940	armat	3901	5711
941	carro	3564	6263
942	infermera	2248	9930
943	ficar	1849	12105
944	pendent	6175	3626
945	pesta	3403	6580
946	traïdor	1877	11930
947	cinquena	7162	3141
948	esdevé	8753	2573
949	deriva	8519	2644
950	quadrat	5676	3970
951	esclavitud	3358	6716
952	carregar	3117	7242
953	for	8310	2720
954	aeri	5060	4468
955	gravació	5340	4234
956	tram	11025	2051
957	limitat	7294	3134
958	bèstia	2205	10376
959	signe	5719	4014
960	cristiana	7973	2885
961	acordar	5297	4392
962	seca	6316	3689
963	confondre	5492	4243
964	arran	11273	2072
965	supervivència	4793	4878
966	desapareix	4149	5650
967	fuig	3121	7516
968	aterratge	4026	5840
969	notar	4860	4839
970	exercir	17724	1330
971	artificial	5522	4270
972	situa	13397	1761
973	còmics	6673	3544
974	rècord	8131	2911
975	vapor	8279	2866
976	alimentar	3774	6288
977	imaginació	3579	6632
978	tabac	3459	6864
979	meravellós	1680	14202
980	rendir	6360	3766
981	circuit	10380	2310
982	positiu	5940	4038
983	terroristes	3029	7959
984	alliberament	9810	2458
985	violació	3895	6194
986	considerable	10398	2323
987	retrat	7153	3380
988	mantenen	9534	2536
989	còmic	7825	3091
990	afores	4968	4876
991	acostar	3967	6121
992	ocórrer	4556	5330
993	altament	6574	3696
994	avantpassats	4230	5759
995	duu	6133	3976
996	inscripció	14000	1747
997	míssils	4069	6012
998	catòlica	11024	2227
999	espiritual	7093	3471
1000	reconstruir	6503	3786
1001	electrònic	5695	4332
1002	nét	4302	5742
1003	homenatge	9979	2489
1004	consideració	5903	4225
1005	espòs	4224	5906
1006	revisió	5814	4322
1007	comissari	4851	5190
1008	aguanta	1602	15723
1009	cuidar	2628	9588
1010	comerciants	6246	4036
1011	obtingut	7721	3266
1012	horrible	1151	21937
1013	gola	2913	8703
1014	posseeix	10993	2311
1015	extraordinari	3456	7358
1016	emocional	5008	5080
1017	potent	6199	4107
1018	enterrar	2999	8494
1019	truc	1905	13455
1020	selva	7054	3637
1021	pur	4273	6009
1022	cartell	4416	5819
1023	assembla	2902	8860
1024	seriós	2871	8973
1025	italiana	11477	2249
1026	conquerir	6184	4174
1027	clan	7002	3688
1028	pretenia	5946	4356
1029	facilitat	8272	3133
1030	únicament	14007	1853
1031	cendres	3323	7812
1032	caritat	4964	5237
1033	haig	512	50819
1034	custòdia	3381	7703
1035	assistència	8150	3208
1036	percentatge	7743	3387
1037	emprar	8643	3035
1038	brigada	11302	2321
1039	equivalent	11311	2326
1040	armadura	3720	7097
1041	confessar	3068	8611
1042	dignitat	4348	6079
1043	pesar	6728	3942
1044	intensa	8245	3219
1045	component	9841	2698
1046	nano	757	35156
1047	grossa	3088	8622
1048	obté	10002	2687
1049	xic	3125	8615
1050	secretària	4952	5451
1051	entregar	3425	7889
1052	ànim	5053	5362
1053	desfer	4346	6238
1054	taques	6562	4140
1055	esquadró	3586	7585
1056	debilitat	3292	8308
1057	apartat	6586	4157
1058	garantir	7101	3859
1059	òrgan	7331	3742
1060	colpejar	2961	9267
1061	adult	5514	4987
1062	bebè	1883	14610
1063	cadascú	3498	7874
1064	disciplina	7679	3587
1065	mereix	1842	14970
1066	caçar	2576	10725
1067	sants	10537	2639
1068	centímetres	7432	3746
1069	fonamental	11959	2333
1070	masculí	7426	3758
1071	ritual	5230	5340
1072	santuari	9062	3082
1073	maca	1110	25178
1074	encàrrec	6767	4131
1075	infantesa	6786	4121
1076	esclatar	6434	4359
1077	antecedents	3520	7970
1078	missa	9152	3070
1079	xinesos	7196	3908
1080	clínica	5553	5065
1081	nan	2701	10426
1082	post	7165	3931
1083	monstres	2789	10114
1084	cacera	4304	6558
1085	mitjanit	2842	9937
1086	necessàriament	6827	4144
1087	índex	9317	3037
1088	nazis	5976	4744
1089	prioritat	4245	6685
1090	registrar	6252	4550
1091	anti	8044	3537
1092	quiet	1570	18125
1093	trampa	2222	12819
1094	maledicció	2392	11908
1095	inventar	4632	6154
1096	munició	3968	7191
1097	adolescent	5042	5661
1098	luxe	5069	5648
1099	afectar	7827	3660
1100	der	12315	2329
1101	explorar	5334	5395
1102	aliment	7959	3620
1103	mèrit	6691	4309
1104	específicament	7582	3803
1105	mascle	7267	3969
1106	llogaters	54651	529
1107	definitiva	9171	3167
1108	inútil	2318	12549
1109	corredor	4734	6153
1110	transmetre	8987	3250
1111	jurisdicció	6879	4251
1112	alfa	4683	6287
1113	expansió	15341	1920
1114	terrorista	2747	10769
1115	planejat	3059	9677
1116	full	5632	5271
1117	casal	9170	3243
1118	cabana	4624	6432
1119	avanç	8467	3519
1120	japonesa	8576	3475
1121	indicar	9713	3079
1122	contribuir	12700	2364
1123	cedit	16526	1817
1124	tancament	7916	3795
1125	seguiment	8379	3590
1126	idiota	783	38501
1127	bronze	17402	1739
1128	sobrenom	7696	3934
1129	nus	5051	5995
1130	nuclears	5741	5285
1131	habitualment	14118	2150
1132	separació	11157	2724
1133	lliçons	5335	5700
1134	observadors	4791	6352
1135	sofert	7415	4106
1136	pirates	6792	4483
1137	repte	4049	7522
1138	borratxo	1798	16941
1139	boira	3925	7765
1140	envolta	7629	3999
1141	flama	3625	8466
1142	policial	4994	6151
1143	fragments	12244	2509
1144	dividir	12694	2438
1145	rodar	5792	5345
1146	lleugera	6945	4460
1147	invitació	2950	10506
1148	reconstrucció	10305	3010
1149	cerebral	3849	8063
1150	indret	11459	2710
1151	ridícul	1819	17090
1152	criar	3575	8710
1153	coordenades	4627	6734
1154	conspiració	5017	6212
1155	xinesa	8975	3473
1156	parròquia	18887	1652
1157	comunicar	8300	3767
1158	anual	17696	1767
1159	inusual	4783	6544
1160	marí	7482	4184
1161	protector	5208	6017
1162	pagesos	7131	4397
1163	estel	5957	5276
1164	barba	4442	7084
1165	fundador	15920	1980
1166	llàgrimes	3169	9957
1167	evidentment	3899	8106
1168	investigador	6456	4899
1169	violent	4948	6394
1170	diamants	2651	11950
1171	estúpid	1023	31021
1172	excés	7015	4524
1173	vampir	1270	25030
1174	donació	7928	4011
1175	aprovació	8506	3739
1176	crescut	4252	7490
1177	llatina	12078	2637
1178	comprensió	7588	4199
1179	envers	7486	4259
